,Academic Item,Session 1,Session 2,Co-requisite,Pre-requisite
0,AACG8990,True,True,,
1,AAOP8990,True,True,,Admission to MRes
2,ABST1000,True,True,,
3,ABST1020,True,True,,
4,ABST2020,True,False,,40cp at 1000 level or above AND (ABST1000)
5,ABST2035,True,False,,40cp at 1000 level or above and (ABST1000 or GEND1000)
6,ABST2060,False,True,,40cp at 1000 level or above and ABST1000
7,ABST3025,False,True,,130cp at 1000 level or above including ABST1000 or ABST1020 and 20cp at 2000 level including ABST2035 or ABST2020 or ABST2060 
8,ABST3035,False,True,,130cp at 1000 level or above including ABST1000 or ABST1020 and 20cp at 2000 level including ABST2035 or ABST2020 or ABST2060 
9,ABST3040,True,False,,(130cp at 1000 level or above including ABST1000 or ABST1020 and 20cp at 2000 level including ABST2035 or ABST2020 or ABST2060) or Admission to BSocSc
10,ABST8990,True,True,,Admission to MRes
11,ABSX1000,True,True,,
12,ABSX1020,True,True,,
13,ABSX2020,True,False,,40cp at 1000 level or above including ABSX1000
14,ABSX2035,True,False,,40cp at 1000 level or above and (ABST1000 or GEND1000)
15,ABSX2060,False,True,,40cp at 1000 level or above including ABSX1000
16,ABSX3025,False,True,,130cp at 1000 level or above including ABSX1000 or ABSX1020 and 20cp at 2000 level including ABSX2035 or ABSX2020 or ABSX2060
17,ABSX3035,False,True,,130cp at 1000 level or above including ABSX1000 or ABSX1020 and 20cp at 2000 level including ABSX2035 or ABSX2020 or ABSX2060
18,ABSX3040,True,False,,130cp at 1000 level or above including ABSX1000 or ABSX1020 and 20cp at 2000 level including ABSX2035 or ABSX2020 or ABSX2060
19,ACCG1000,True,True,,
20,ACCG1001,True,True,,ACCG100 or ACCG106 or ACCG1000
21,ACCG2000,True,True,,50cp at 1000 level or above including ACCG100 or ACCG1000 or ACCG106
22,ACCG2002,False,True,,50cp at 1000 level or above including BBA102 or MGMT1002
23,ACCG2024,True,True,,ACCG101 or ACCG1001
24,ACCG2050,True,True,,50cp at 1000 level or above including ACCG100 or ACCG1000 or ACCG106
25,ACCG2051,True,True,,50cp at 1000 level or above
26,ACCG2065,False,True,,50cp at 1000 level or above
27,ACCG2067,True,False,,50cp at 1000 level or above
28,ACCG3001,True,True,,(ACCG200 or ACCG2000) or 130cp at 1000 level or above
29,ACCG3008,True,True,,(ACCG224 or ACCG2024) or 130cp at 1000 level or above
30,ACCG3015,True,True,,160cp including ACCG200 or ACCG2000 or ACCG224 or ACCG2024 or ACCG250 or ACCG2050 or ACCG2065
31,ACCG3020,True,True,,(20cp at 2000 level or above including (BUSL250 or BUSL251 or ACCG2051)) or 40cp in LAW units at 2000 level
32,ACCG3025,False,True,,130cp at 1000 level or above
33,ACCG3030,True,False,,(ACCG200 or ACCG2000) and (ACCG301 or ACCG3001)
34,ACCG3040,True,True,,130cp at 1000 level or above including (ACCG308 or ACCG3008) and (ACCG250 or ACCG2050)
35,ACCG3050,True,True,,130cp at 1000 level or above including AFIN250 or AFIN2050 or AFIN252 or AFIN253 or AFIN2053
36,ACCG3055,False,True,,ACCG250 or ACCG2050 or (130cp at 1000 level or above including BUSA2020)
37,ACCG3058,True,False,,ACCG250 or ACCG2050
38,ACCG3060,True,False,,ACCG250 or ACCG2050 or PICT201 or PICT2001 or (130cp at 1000 level or above including BUSA2020)
39,ACCG6003,True,True,,Admission to MMgmt or MEngMgt
