Academic Item,Title,Version Number,Type,Status,Academic Org,Owning Faculty,Type,Description
AACG8990,Master of Research - Accounting and Corporate Governance,2023.02,Non-PACE,Approved,Department of Accounting and Corporate Governance ,Macquarie Business School,NCCW (pre-2020 units),AACG899
AAOP8990,Master of Research - Astrophysics and Astronomical and Space Instrumentation,2023.01,Non-PACE,Approved,Owned at Faculty level,Faculty of Science and Engineering,Pre-requisite,Admission to MRes
ABST1000,Introducing Indigenous Australia,2023.03,Non-PACE,Approved,Department of Indigenous Studies ,Faculty of Arts,NCCW (pre-2020 units),"ABSP100, ABST100"
ABST1020,"Dharug Country: Presences, Places and People",2023.02,Non-PACE,Approved,Department of Indigenous Studies ,Faculty of Arts,NCCW (pre-2020 units),ABST102
ABST2020,Indigenous Pop Culture,2023.02,Non-PACE,Approved,Department of Indigenous Studies ,Faculty of Arts,NCCW (pre-2020 units),ABST202
ABST2020,Indigenous Pop Culture,2023.02,Non-PACE,Approved,Department of Indigenous Studies ,Faculty of Arts,Pre-requisite,40cp at 1000 level or above AND (ABST1000)
ABST2035,Indigenous Queer Studies,2023.01R,Non-PACE,Approved,Department of Indigenous Studies ,Faculty of Arts,Pre-requisite,40cp at 1000 level or above and (ABST1000 or GEND1000)
ABST2060,Indigenous Histories and Knowledges,2023.01R,Non-PACE,Approved,Department of Indigenous Studies ,Faculty of Arts,Pre-requisite,40cp at 1000 level or above and ABST1000
ABST3025,Indigenous Research Methodologies,2023.02,Non-PACE,Approved,Department of Indigenous Studies ,Faculty of Arts,Pre-requisite,130cp at 1000 level or above including ABST1000 or ABST1020 and 20cp at 2000 level including ABST2035 or ABST2020 or ABST2060 
ABST3035,Indigenous Queer Theory & Practice,2023.01R,Non-PACE,Approved,Department of Indigenous Studies ,Faculty of Arts,Pre-requisite,130cp at 1000 level or above including ABST1000 or ABST1020 and 20cp at 2000 level including ABST2035 or ABST2020 or ABST2060 
ABST3040,"Settler Colonialism, Decolonisation and Indigenous Futures ",2023.01R,Non-PACE,Approved,Department of Indigenous Studies ,Faculty of Arts,NCCW (pre-2020 units),ABST304
ABST3040,"Settler Colonialism, Decolonisation and Indigenous Futures ",2023.01R,Non-PACE,Approved,Department of Indigenous Studies ,Faculty of Arts,Pre-requisite,(130cp at 1000 level or above including ABST1000 or ABST1020 and 20cp at 2000 level including ABST2035 or ABST2020 or ABST2060) or Admission to BSocSc
ABST8990,Master of Research - Indigenous Studies,2023.01R,Non-PACE,Approved,Department of Indigenous Studies ,Faculty of Arts,NCCW (pre-2020 units),ABST899
ABST8990,Master of Research - Indigenous Studies,2023.01R,Non-PACE,Approved,Department of Indigenous Studies ,Faculty of Arts,Pre-requisite,Admission to MRes
