Academic Item,Title,Version Number,Status,Owning Faculty,Academic Org,Display Name,Teaching Period,Attendance Mode,Location,Quota Number
ACCG3050,Financial Statement Analysis,2023.03,Approved,Macquarie Business School,Department of Accounting and Corporate Governance ,Session 1-F2F-DAY-North Ryde,Session 1,In person-scheduled-weekday,North Ryde,
POIR3970,Global Environmental Politics,2023.01R,Approved,Faculty of Arts,Macquarie School of Social Sciences,Session 2-ONL-FLX,Session 2,Online-flexible,,
COMP8770,Information Systems Project and Risk Management,2023.01R,Approved,Faculty of Science and Engineering,School of Computing,Session 1-F2F-DAY-North Ryde,Session 1,In person-scheduled-weekday,North Ryde,
MGMT2040,Workplace Relations,2023.01,Approved,Macquarie Business School,Department of Management ,Session 1-F2F-DAY-North Ryde,Session 1,In person-scheduled-weekday,North Ryde,
ESPS2200,Professional Practice in Exercise Science I,2023.04,Approved,"Faculty of Medicine, Health and Human Sciences",Department of Health Sciences,Session 2-F2F-DAY-North Ryde,Session 2,In person-scheduled-weekday,North Ryde,
ECHE1300,Health and Wellbeing,2023.01R,Approved,Faculty of Arts,Macquarie School of Education,Session 1-ONL-S-DAY,Session 1,Online-scheduled-weekday,,
INDG7001,Research Ethics in Indigenous Australian Contexts,2023.02,Approved,Faculty of Arts,Department of Indigenous Studies ,Session 2-ONL-FLX,Session 2,Online-flexible,,
CHIN2220,C Chinese Studies 6,2023.02,Approved,Faculty of Arts,"Department of Media, Communications, Creative Arts, Language and Literature",Session 2-ONL-FLX,Session 2,Online-flexible,,
SPHL7717,Phonetic Theory and Transcription,2023.01R,Approved,"Faculty of Medicine, Health and Human Sciences",Department of Linguistics ,Session 1-F2F-DAY-North Ryde,Session 1,In person-scheduled-weekday,North Ryde,
AFIN8005,Research Methods in Banking and Finance,2023.04,Approved,Macquarie Business School,Department of Applied Finance ,Session 1-F2F-DAY-North Ryde,Session 1,In person-scheduled-weekday,North Ryde,
PSYC8959,Supervised Practical Placement IV,2023.01R,Approved,"Faculty of Medicine, Health and Human Sciences",School of Psychological Sciences,Full year 1-F2F-PLACE-On location,Full year 1,In person-placement,On location,
ENVS8527,Engaging Society with Sustainable Development,2023.01R,Approved,Faculty of Science and Engineering,School of Natural Sciences,Session 1-F2F-DAY-North Ryde,Session 1,In person-scheduled-weekday,North Ryde,
